network_type,T,S,f_c
complete,0.0,-1.0,0.43
complete,0.0,-0.75,0.88
complete,0.0,-0.5,1.0
complete,0.0,-0.25,1.0
complete,0.0,0.0,1.0
complete,0.0,0.25,1.0
complete,0.0,0.5,1.0
complete,0.0,0.75,1.0
complete,0.0,1.0,1.0
complete,0.25,-1.0,0.06730769230769233
complete,0.25,-0.75,0.5
complete,0.25,-0.5,0.97
complete,0.25,-0.25,1.0
complete,0.25,0.0,1.0
complete,0.25,0.25,1.0
complete,0.25,0.5,1.0
complete,0.25,0.75,1.0
complete,0.25,1.0,1.0
complete,0.5,-1.0,0.0
complete,0.5,-0.75,0.0
complete,0.5,-0.5,0.4505769230769232
complete,0.5,-0.25,1.0
complete,0.5,0.0,1.0
complete,0.5,0.25,1.0
complete,0.5,0.5,1.0
complete,0.5,0.75,1.0
complete,0.5,1.0,1.0
complete,0.75,-1.0,0.0
complete,0.75,-0.75,0.0
complete,0.75,-0.5,0.0
complete,0.75,-0.25,0.34192307692307705
complete,0.75,0.0,1.0
complete,0.75,0.25,1.0
complete,0.75,0.5,1.0
complete,0.75,0.75,1.0
complete,0.75,1.0,1.0
complete,1.0,-1.0,0.0
complete,1.0,-0.75,0.0
complete,1.0,-0.5,0.0
complete,1.0,-0.25,0.0
complete,1.0,0.0,0.0
complete,1.0,0.25,0.9615384615384572
complete,1.0,0.5,0.9807692307692267
complete,1.0,0.75,0.9893371153846132
complete,1.0,1.0,0.9903846153846133
complete,1.25,-1.0,0.0
complete,1.25,-0.75,0.0
complete,1.25,-0.5,0.0
complete,1.25,-0.25,0.0
complete,1.25,0.0,0.0
complete,1.25,0.25,0.4807692307692286
complete,1.25,0.5,0.6538461538461587
complete,1.25,0.75,0.7403846153846133
complete,1.25,1.0,0.7924420192307712
complete,1.5,-1.0,0.0
complete,1.5,-0.75,0.0
complete,1.5,-0.5,0.0
complete,1.5,-0.25,0.0
complete,1.5,0.0,0.0
complete,1.5,0.25,0.3205369230769243
complete,1.5,0.5,0.49038461538461336
complete,1.5,0.75,0.5922606730769213
complete,1.5,1.0,0.6602985576923094
complete,1.75,-1.0,0.0
complete,1.75,-0.75,0.0
complete,1.75,-0.5,0.0
complete,1.75,-0.25,0.0
complete,1.75,0.0,0.0
complete,1.75,0.25,0.2403846153846143
complete,1.75,0.5,0.39234278846153947
complete,1.75,0.75,0.4935724999999989
complete,1.75,1.0,0.5659598076923076
complete,2.0,-1.0,0.0
complete,2.0,-0.75,0.0
complete,2.0,-0.5,0.0
complete,2.0,-0.25,0.0
complete,2.0,0.0,0.0
complete,2.0,0.25,0.19230769230769312
complete,2.0,0.5,0.32692307692307937
complete,2.0,0.75,0.4230769230769203
complete,2.0,1.0,0.49518038461538383
