network_typ,game_type,b_r,k,f_c
Regular,Prisoner's Dilemma,1.0,4,0.7038792067307693
Regular,Prisoner's Dilemma,1.05,4,0.5234600360576924
Regular,Prisoner's Dilemma,1.1,4,0.3189483173076923
Regular,Prisoner's Dilemma,1.15,4,0.13501051682692308
Regular,Prisoner's Dilemma,1.2,4,0.05718900240384613
Regular,Snowdrift,0.1,4,1.0
Regular,Snowdrift,0.3,4,0.6218023838141025
Regular,Snowdrift,0.5,4,0.37835687099358967
Regular,Snowdrift,0.7,4,0.19829927884615378
Regular,Snowdrift,0.9,4,0.00735226362179487
Scale-Free,Prisoner's Dilemma,1.1,4,0.9842072315705128
Scale-Free,Prisoner's Dilemma,1.3,4,0.90625
Scale-Free,Prisoner's Dilemma,1.5,4,0.1875
Scale-Free,Prisoner's Dilemma,1.7,4,0.0
Scale-Free,Prisoner's Dilemma,1.9,4,0.0
Scale-Free,Snowdrift,0.1,4,0.9811748798076922
Scale-Free,Snowdrift,0.3,4,1.0
Scale-Free,Snowdrift,0.5,4,0.9396915064102563
Scale-Free,Snowdrift,0.7,4,0.9292457932692308
Scale-Free,Snowdrift,0.9,4,0.16249048477564101
